Activity ID,Activity Status,WBS Code,At Completion Duration(d),Activity Name,Start,Finish,(*)Free Float(d),Total Float,Predecessors,Predecessor Details,Successors,Successor Details,Primary Constraint,Activity Type,Duration Type,Delete This Row
A21610,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Process Drains,29/08/2023 08:00,11/09/2023 17:00,109,125,,,"A21780, A21790, A21600","A21780: FS, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
A21630,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Hot Water Supply,29/08/2023 08:00,11/09/2023 17:00,225,225,,,,,,Task Dependent,Fixed Duration & Units,
A21640,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Heat Recovery,09/01/2024 08:00,22/01/2024 17:00,140,140,A30850,A30850: FS,,,,Task Dependent,Fixed Duration & Units,
A40520,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Sewerage (foul) Water,10/01/2024 08:00,23/01/2024 17:00,139,139,A40510,A40510: FS,,,,Task Dependent,Fixed Duration & Units,
A21800,Not Started,Hercules_15082023-6.18.1,0,Power Available for Commissioning,12/01/2024 16:00,,0,21,A21820,A21820: FS,"JCQV1000, A21970, A21570, A21560, A21550, A21540","JCQV1000: FS, A21970: FS, A21570: FS, A21560: FS, A21550: FS, A21540: FS",As Late As Possible,Start Milestone,Fixed Duration and Units/Time,
A21550,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Biowaste,12/01/2024 16:00,26/01/2024 16:00,0,36,A21800,A21800: FS,"JCQV1010, A21970, A21740, A21530","JCQV1010: FS, A21970: FF, A21740: FF 10, A21530: FS",,Task Dependent,Fixed Duration & Units,
A21540,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - WAI (Industrial Waste),12/01/2024 16:00,26/01/2024 16:00,20,36,A21800,A21800: FS,"A21780, A21790, A21600","A21780: FS, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
A21970,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Biowaste Storage & Inactivation Skid,12/01/2024 16:00,26/01/2024 16:00,0,46,"A21550, A21800","A21550: FF, A21800: FS",JCQV1010,JCQV1010: FS,,Task Dependent,Fixed Duration & Units,
A21560,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Plant Steam Condensate,18/01/2024 08:00,31/01/2024 17:00,1,33,"A21800, A7460","A21800: FS, A7460: FS","A21740, JCQV1030, A21780","A21740: FF 10, JCQV1030: FS, A21780: FS",,Task Dependent,Fixed Duration & Units,
A21680,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Pure Steam Condensate,18/01/2024 08:00,31/01/2024 17:00,17,8,A7460,A7460: FS,JCQV1050,JCQV1050: FS,,Task Dependent,Fixed Duration & Units,
A21580,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Nitrogen,19/01/2024 08:00,01/02/2024 17:00,0,32,A7370,A7370: FS,"A21740, JCQV1030","A21740: FF 10, JCQV1030: FS",,Task Dependent,Fixed Duration & Units,
A21590,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Oxygen,19/01/2024 08:00,01/02/2024 17:00,0,32,A7380,A7380: FS,"A21740, JCQV1030","A21740: FF 10, JCQV1030: FS",,Task Dependent,Fixed Duration & Units,
A21700,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Process Vents,22/01/2024 08:00,02/02/2024 17:00,15,31,A7450,A7450: FS,"A21740, A21780, A21790, A21600","A21740: FF 10, A21780: FS, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
A21730,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Plant Steam,22/01/2024 08:00,02/02/2024 17:00,16,31,A7480,A7480: FS,"A21740, A21790, A21600","A21740: FF 10, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
